latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.52,13.419998,38.0,0,GMT,GMT

time,wind_speed_10m (km/h),rain (mm)
2025-10-27T00:00,22.2,0.00
2025-10-27T01:00,21.9,0.00
2025-10-27T02:00,19.0,0.00
2025-10-27T03:00,18.7,0.20
2025-10-27T04:00,16.8,0.30
2025-10-27T05:00,17.4,0.00
2025-10-27T06:00,17.4,0.20
2025-10-27T07:00,16.1,1.00
2025-10-27T08:00,18.9,0.40
2025-10-27T09:00,17.7,0.30
2025-10-27T10:00,16.5,0.00
2025-10-27T11:00,20.9,0.00
2025-10-27T12:00,12.3,0.40
2025-10-27T13:00,16.3,0.20
2025-10-27T14:00,19.2,0.10
2025-10-27T15:00,17.8,0.30
2025-10-27T16:00,16.7,0.00
2025-10-27T17:00,15.5,0.00
2025-10-27T18:00,14.5,0.10
2025-10-27T19:00,16.2,0.00
2025-10-27T20:00,17.4,0.00
2025-10-27T21:00,18.1,0.20
2025-10-27T22:00,19.6,0.00
2025-10-27T23:00,20.8,0.00
2025-10-28T00:00,20.5,0.20
2025-10-28T01:00,20.1,0.00
2025-10-28T02:00,20.9,0.00
2025-10-28T03:00,21.4,0.00
2025-10-28T04:00,20.2,0.00
2025-10-28T05:00,21.7,0.00
2025-10-28T06:00,20.0,0.00
2025-10-28T07:00,17.8,0.00
2025-10-28T08:00,17.1,0.00
2025-10-28T09:00,15.9,0.00
2025-10-28T10:00,14.8,0.40
2025-10-28T11:00,15.8,0.80
2025-10-28T12:00,13.9,2.00
2025-10-28T13:00,14.2,1.80
2025-10-28T14:00,14.6,0.10
2025-10-28T15:00,14.1,0.00
2025-10-28T16:00,14.5,0.00
2025-10-28T17:00,19.4,0.00
2025-10-28T18:00,17.2,0.00
2025-10-28T19:00,16.9,0.00
2025-10-28T20:00,16.9,0.00
2025-10-28T21:00,16.1,0.00
2025-10-28T22:00,17.1,0.00
2025-10-28T23:00,16.2,0.00
2025-10-29T00:00,15.0,0.00
2025-10-29T01:00,14.0,0.00
2025-10-29T02:00,13.6,0.00
2025-10-29T03:00,12.0,0.00
2025-10-29T04:00,11.6,0.00
2025-10-29T05:00,10.4,0.00
2025-10-29T06:00,12.0,0.00
2025-10-29T07:00,10.7,0.00
2025-10-29T08:00,10.3,0.00
2025-10-29T09:00,10.7,0.00
2025-10-29T10:00,11.6,0.00
2025-10-29T11:00,11.5,0.00
2025-10-29T12:00,11.8,0.00
2025-10-29T13:00,13.3,0.00
2025-10-29T14:00,11.9,0.00
2025-10-29T15:00,10.2,0.00
2025-10-29T16:00,7.0,0.00
2025-10-29T17:00,7.5,0.00
2025-10-29T18:00,9.3,0.00
2025-10-29T19:00,9.5,0.00
2025-10-29T20:00,9.7,0.00
2025-10-29T21:00,10.7,0.00
2025-10-29T22:00,11.1,0.00
2025-10-29T23:00,11.6,0.00
2025-10-30T00:00,11.4,0.00
2025-10-30T01:00,12.0,0.00
2025-10-30T02:00,11.5,0.00
2025-10-30T03:00,11.0,0.40
2025-10-30T04:00,12.6,2.50
2025-10-30T05:00,13.9,1.30
2025-10-30T06:00,14.1,0.50
2025-10-30T07:00,19.4,2.00
2025-10-30T08:00,21.5,0.20
2025-10-30T09:00,23.6,0.50
2025-10-30T10:00,21.9,0.50
2025-10-30T11:00,25.4,0.00
2025-10-30T12:00,27.8,0.50
2025-10-30T13:00,22.0,0.00
2025-10-30T14:00,23.1,0.00
2025-10-30T15:00,20.6,0.00
2025-10-30T16:00,19.4,0.00
2025-10-30T17:00,16.6,0.00
2025-10-30T18:00,16.1,0.00
2025-10-30T19:00,15.2,0.00
2025-10-30T20:00,13.7,0.00
2025-10-30T21:00,13.5,0.00
2025-10-30T22:00,11.7,0.00
2025-10-30T23:00,10.3,0.00
